title,view,price,score,like,college,url
iOS 모바일 앱 모의해킹 (입문자편),36,198000,-1,,,https://www.inflearn.com/course/ios-%EB%AA%A8%EB%B0%94%EC%9D%BC%EC%95%B1-%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9-%EC%9E%85%EB%AC%B8
Python 엑셀 프로그래밍 - with xlsxwriter,7,55000,-1,,,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%97%91%EC%85%80-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 2 - 불량사과를 찾아라!,62,77000,-1,,,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%98%81%EC%83%81%EC%B2%98%EB%A6%AC-%EB%B6%88%EB%9F%89%EC%82%AC%EA%B3%BC
"따라하며 배우는 노드, 리액트 시리즈 - 쇼핑몰 사이트 만들기",328,11000,5.0,,,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%A9%B0-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%85%B8%EB%93%9C-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EC%87%BC%ED%95%91%EB%AA%B0
Flutter 공공 API를 활용한 앱 만들기 응용 (공적 마스크 재고 확인 앱),132,33000,5.0,,,https://www.inflearn.com/course/flutter-%EA%B3%B5%EA%B3%B5-api-%EC%95%B1-%EC%9D%91%EC%9A%A9
데브옵스(DevOps)를 위한 쿠버네티스 마스터,233,330000,5.0,,,https://www.inflearn.com/course/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EB%A7%88%EC%8A%A4%ED%84%B0
[모바일] 딥러닝 Computer Vision 실전 프로젝트,38,99000,-1,,,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EB%AA%A8%EB%B0%94%EC%9D%BC-ComputerVision
프론트엔드 개발자를 위한 웹팩,611,33000,4.8,,,https://www.inflearn.com/course/%ED%94%84%EB%9F%B0%ED%8A%B8%EC%97%94%EB%93%9C-%EC%9B%B9%ED%8C%A9
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,384,88000,4.9,,,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-MMORPG-%EA%B0%9C%EB%B0%9C-Part4
실전! 웹사이트 제작!  Step By Step! _Basic  (한화캐미컬_반응형웹),91,22000,5.0,,,https://www.inflearn.com/course/%EC%9B%B9%EC%82%AC%EC%9D%B4%ED%8A%B8%EC%A0%9C%EC%9E%91-%EC%8B%A4%EC%A0%84-%ED%95%9C%ED%99%94%EC%BA%90%EB%AF%B8%EC%BB%AC
